==77496== NVPROF is profiling process 77496, command: ./flounder
CUDA init took 2.973308 seconds
num faces 1133760, BLOCK_SIZE 256
refinement took 1.225407 seconds
==77496== Profiling application: ./flounder
==77496== Profiling result:
Time(%)      Time     Calls       Avg       Min       Max  Name
  0.05%  492.98us        24  20.540us  2.0800us  90.655us  compute_best_indset_0(ints, ints)
  0.04%  390.04us        33  11.819us  7.8400us  13.279us  void thrust::system::cuda::detail::bulk_::detail::launch_by_value<unsigned int=0, thrust::system::cuda::detail::bulk_::detail::cuda_task<thrust::system::cuda::detail::bulk_::parallel_group<thrust::system::cuda::detail::bulk_::concurrent_group<thrust::system::cuda::detail::bulk_::agent<unsigned long=1>, unsigned long=0>, unsigned long=0>, thrust::system::cuda::detail::bulk_::detail::closure<thrust::system::cuda::detail::reduce_detail::reduce_partitions, thrust::tuple<thrust::system::cuda::detail::bulk_::detail::cursor<unsigned int=1>, thrust::detail::normal_iterator<thrust::pointer<thrust::tuple<bool, long, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type>, thrust::system::cuda::detail::tag, thrust::use_default, thrust::use_default>>, thrust::detail::normal_iterator<thrust::pointer<thrust::tuple<bool, long, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type>, thrust::system::cuda::detail::tag, thrust::use_default, thrust::use_default>>, thrust::detail::normal_iterator<thrust::pointer<thrust::tuple<bool, long, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type>, thrust::system::cuda::detail::tag, thrust::use_default, thrust::use_default>>, thrust::system::detail::generic::find_if_functor<thrust::tuple<bool, long, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type>>, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type>>>>(unsigned long=1)
  0.02%  231.68us       218  1.0620us     832ns  1.3440us  [CUDA memcpy HtoD]
  0.01%  124.86us        51  2.4480us  2.2080us  2.6880us  void thrust::system::cuda::detail::bulk_::detail::launch_by_value<unsigned int=0, thrust::system::cuda::detail::bulk_::detail::cuda_task<thrust::system::cuda::detail::bulk_::parallel_group<thrust::system::cuda::detail::bulk_::concurrent_group<thrust::system::cuda::detail::bulk_::agent<unsigned long=1>, unsigned long=0>, unsigned long=0>, thrust::system::cuda::detail::bulk_::detail::closure<thrust::system::cuda::detail::for_each_n_detail::for_each_kernel, thrust::tuple<thrust::system::cuda::detail::bulk_::detail::cursor<unsigned int=0>, thrust::pointer<thrust::tuple<bool, long, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type>, thrust::system::cuda::detail::tag, thrust::use_default, thrust::use_default>, thrust::detail::wrapped_function<thrust::detail::allocator_traits_detail::gozer, void>, unsigned int, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type>>>>(unsigned long=1)

==77496== API calls:
Time(%)      Time     Calls       Avg       Min       Max  Name
 69.15%  984.28ms      3221  305.58us  2.2000us  79.256ms  cudaDeviceSynchronize
 20.76%  295.43ms      1392  212.24us  3.0060us  210.42ms  cudaMalloc
  5.33%  75.821ms      1392  54.468us  3.3360us  285.07us  cudaFree
  1.68%  23.956ms      1789  13.390us  9.0740us  408.56us  cudaLaunch
  0.63%  8.9564ms       459  19.512us  15.396us  70.600us  cudaMemcpyAsync
  0.58%  8.3034ms       553  15.015us  7.4580us  34.115us  cudaMemcpy
  0.58%  8.2165ms       408  20.138us  4.0790us  95.524us  cudaEventSynchronize
  0.46%  6.5558ms      2617  2.5050us  2.0370us  13.606us  cudaFuncGetAttributes
  0.15%  2.1200ms       144  14.721us  9.6800us  35.131us  cudaMemset
  0.14%  2.0087ms      1190  1.6870us  1.2690us  6.7180us  cudaEventCreateWithFlags
  0.14%  1.9864ms      3013     659ns     377ns  11.681us  cudaGetDevice
  0.09%  1.3400ms      1190  1.1260us     846ns  7.9600us  cudaEventDestroy
  0.09%  1.3137ms      1190  1.1030us     876ns  4.9810us  cudaEventRecord
  0.07%  994.03us      3225     308ns     164ns  4.5700us  cudaSetupArgument
  0.07%  980.90us       166  5.9090us     468ns  206.51us  cuDeviceGetAttribute
  0.05%  732.04us      1789     409ns     263ns  11.293us  cudaConfigureCall
  0.01%  187.71us       599     313ns     249ns     526ns  cudaPeekAtLastError
  0.01%  117.58us         2  58.791us  58.053us  59.530us  cuDeviceTotalMem
  0.01%  102.00us         2  50.998us  46.569us  55.428us  cuDeviceGetName
  0.00%  7.0220us        11     638ns     342ns  2.7860us  cudaDeviceGetAttribute
  0.00%  5.4060us         2  2.7030us     865ns  4.5410us  cuDeviceGetCount
  0.00%  3.0610us         4     765ns     498ns  1.1330us  cuDeviceGet
